route_id,service_id,trip_id,trip_headsign,direction_id,block_id
9-256,JAN17B-JANDA17-Weekday-17,44818241-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272133
9-256,JAN17B-JANDA17-Weekday-17,44818242-JAN17B-JANDA17-Weekday-17,"Rideau",0,5272133
9-256,JAN17B-JANDA17-Weekday-17,44818243-JAN17B-JANDA17-Weekday-17,"Hurdman",1,5272133
9-256,JAN17B-JANDA17-Weekday-17,44818244-JAN17B-JANDA17-Weekday-17,"Rideau",0,5272080
1-256,JAN17B-JANDA17-Weekday-17,44818245-JAN17B-JANDA17-Weekday-17,"South Keys",0,5271820
8-256,JAN17B-JANDA17-Weekday-17,44818246-JAN17B-JANDA17-Weekday-17,"Gatineau",1,5271637
8-256,JAN17B-JANDA17-Weekday-17,44818247-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271637
8-256,JAN17B-JANDA17-Weekday-17,44818248-JAN17B-JANDA17-Weekday-17,"Gatineau",1,5271598
111-256,JAN17B-JANDA17-Weekday-17,44818249-JAN17B-JANDA17-Weekday-17,"Baseline",1,5271598
111-256,JAN17B-JANDA17-Weekday-17,44818250-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271598
111-256,JAN17B-JANDA17-Weekday-17,44818251-JAN17B-JANDA17-Weekday-17,"Baseline",1,5271598
8-256,JAN17B-JANDA17-Weekday-17,44818252-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271598
18-256,JAN17B-JANDA17-Weekday-17,44818253-JAN17B-JANDA17-Weekday-17,"Rideau",1,5272019
18-256,JAN17B-JANDA17-Weekday-17,44818254-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272019
14-256,JAN17B-JANDA17-Weekday-17,44818255-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271723
14-256,JAN17B-JANDA17-Weekday-17,44818256-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271723
14-256,JAN17B-JANDA17-Weekday-17,44818257-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271723
14-256,JAN17B-JANDA17-Weekday-17,44818258-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271723
14-256,JAN17B-JANDA17-Weekday-17,44818259-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271723
8-256,JAN17B-JANDA17-Weekday-17,44818260-JAN17B-JANDA17-Weekday-17,"Billings Bridge",0,5271553
8-256,JAN17B-JANDA17-Weekday-17,44818262-JAN17B-JANDA17-Weekday-17,"Gatineau",1,5271553
18-256,JAN17B-JANDA17-Weekday-17,44818263-JAN17B-JANDA17-Weekday-17,"Rideau",1,5272060
18-256,JAN17B-JANDA17-Weekday-17,44818264-JAN17B-JANDA17-Weekday-17,"Rideau",1,5272060
18-256,JAN17B-JANDA17-Weekday-17,44818265-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818266-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818267-JAN17B-JANDA17-Weekday-17,"Carlington",1,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818268-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818269-JAN17B-JANDA17-Weekday-17,"Carlington",1,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818270-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818271-JAN17B-JANDA17-Weekday-17,"Carlington",1,5272101
14-256,JAN17B-JANDA17-Weekday-17,44818272-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271966
14-256,JAN17B-JANDA17-Weekday-17,44818273-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271966
14-256,JAN17B-JANDA17-Weekday-17,44818274-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271718
14-256,JAN17B-JANDA17-Weekday-17,44818275-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271718
14-256,JAN17B-JANDA17-Weekday-17,44818276-JAN17B-JANDA17-Weekday-17,"St-Laurent",0,5271718
14-256,JAN17B-JANDA17-Weekday-17,44818277-JAN17B-JANDA17-Weekday-17,"Carlington",1,5271718
85-256,JAN17B-JANDA17-Weekday-17,44818278-JAN17B-JANDA17-Weekday-17,"Bayshore",1,5272312
1-256,JAN17B-JANDA17-Weekday-17,44818279-JAN17B-JANDA17-Weekday-17,"South Keys",0,5272095
105-256,JAN17B-JANDA17-Weekday-17,44818280-JAN17B-JANDA17-Weekday-17,"Tunney's Pasture",1,5271734
